"address","name","online_order","book_table","rate","votes","location","rest_type","dish_liked","cuisines","approx_cost.for.two.people.","reviews_list","menu_item","Casual Dining","Quick Bites","Cafe","Bar","Delivery","Dessert","Pub","Fine Dining","North India","Chinese","Continental","Fast Food","South India","Biryani","Beverage","Italian"
"572, 30th Main, 3rd Stage, Banashankari, Bangalore","My Tea House","1","1","NEW",0,"Banashankari","Casual Dining","","Continental, Asian, North Indian, Tea",500,"[('Rated 4.0', ""RATED\n  So apparently I visited this outlet and reviewed the other one as pointed out by the restaurant. Anyway here is what I think of this place.\n\nStragetically located in the heart of Banashankarim 2nd stage close to the KIMS college and BDA complex, this place is a quiet hangout for youngsters and families alike. The decor is amazing so are the variety of teas. There are some unimaginable variants and you would love it. The staff is courteous. And there are some interesting food options too so don't be misled by the name Tea house.\n\nMy rating\nAmbience: 4/5\nService: 4/5\nValue for money: 4/5"")]","['MTH Signature Soup', 'Minestrone Veg', 'Broccoli Spinach Soup', 'Cream of Tomato Soup', 'Cream of Mushroom Soup', 'Cream of Vegetable Soup', 'Cream of Spinach Soup', 'Green Pea Soup', 'Vegetable Clear Soup', 'Cream of Chicken Soup', 'Minestrone Chicken Soup', 'MTH Special Jungle Salad with Garlic Croutons', 'Waldorf Salad', 'Veg Caesar Salad', 'Veg Italian Salad', 'Veg Macaroni Salad', 'Russian Salad', 'Greek Salad', 'Chicken Caesar Salad', 'Chicken Italian Salad', 'Chicken Macaroni Salad', 'MTH Special Cheese Roll', 'Chicken Nuggets', 'Chicken Strips', 'Augratin', 'Veg Casserole', 'Mixed Grilled Veg', 'Risotto Al Funghi', 'Risotto Al Pomodoro', 'Risotto Ai Broccoli E Carota', 'Risotto Al Pomodoro E Salsiccia', 'Classic Stroganoff Veg', 'Cottage Cheese Steak', 'Fritters Veg with Cottage Cheese', 'Risotto Al Pollo', 'Bangers and Mash', 'Chicken Casserole', 'Chicken Diane', 'Chicken Classic Stroganoff', 'Chicken Steak', 'Chicken Schnitzel', 'Chicken Cordon Bleu', 'Chicken Parmigianino', 'Chicken Minced Steak', 'Mixed Grill', 'Fritters Non Veg with Chicken Salami', 'Aloo Paratha', 'Paneer Paratha', 'Egg Paratha', 'Margherita Pizza', 'Piedmont Pizza', 'MTH Special for Meat Lovers Pizza', 'Sicilian Pizza', 'Pizza Tuscany', 'MTH Special Veg Pasta Cannelloni', 'Aglio Olio Pasta', 'Puttanesca Pasta', 'Primavera Pasta', 'Pesto Pasta', 'Veg Alfredo Pasta', 'Veg Romana Pasta', 'Veg Arabiatta Pasta', 'MTH Special Chicken Pasta Cannelloni', 'Chicken Alfredo Pasta', 'Chicken Romana Pasta', 'Chicken Arrabiata Pasta', 'Chicken Lasagne', 'Carbonara Sauce Pasta', 'Spaghetti Bolognese', 'Tetrazzini Pasta', 'California Burger', 'Chilly Billy Veg Burger', 'Lexington Burger', 'American Veg Cheese Burger', 'Chicken Chilli Billy Burger', 'American Cheese and Chicken Burger', 'Broadway Chicken Burger', ""MTH Special Sloppy Joe's Burger"", 'Manhattan Cheese and Chicken Burger', 'The Tex Mex Burger', 'American Cheese and Lamb Burger', 'Grilled UFO Burger', 'Wellington Burger', 'Veg Club Sandwich', 'Veggie Delight Sandwich', 'Spinach and Corn Sandwich', 'Egg Club Sandwich', 'Egg Sandwich', 'MTH Special 5 Layered Monster Sandwich', 'MTH Special 4 Layered Beast Sandwich', 'Chicken Club Sandwich', 'Chicken and Cheese Sandwich', 'Chicken and Salami Sandwich', 'Dal Vada', 'Masala Vada', 'Pakoda Platter Veg', 'Pakoda Platter Egg', 'Pakoda Platter Chicken', 'Garlic Bread', 'French Fries', 'Bruschetta', 'Crostini', 'Cheese Garlic Bread', 'Baked Chilli Cheese Toast', 'Mushroom Bogart', 'Cheese Bogart', ""Bull's Eye"", 'Egg Stuffed Bread Roll', 'Fluffy Scrambled Egg', 'Ham Bogart', 'Chicken Bogart', 'Ice Cream [2 Scoops]', 'MTH Sponge Tea Cake', 'MTH Sponge Honey Cake', 'MTH Sponge Walnut Cake', 'MTH Sponge Dates Cake', 'Cake with Ice Cream']",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"309, Outer Ring Road, Kathriguppe 4th Phase, Gururaja Layout, Banashankari, Bengaluru","Ferment","0","0","NEW",0,"Banashankari","Casual Dining, Bar","","Continental",1000,"[('Rated 3.0', 'RATED\n  Ambience?4/5\nService?5/5\nFood?2.5/5\nGreat location-right on the main road, nice ambience, good service. Wine and dine kinda place, great for an evening hang out or a casual chat. Hookah is an added bonus.\nFood can be better. Pasta and pizza was average. House wine is a must try. ??'), ('Rated 5.0', 'RATED\n  Nice place to hang out, great starters, good interiors, enjoyed it with good music and family and wine. Park view from balcony simply superb'), ('Rated 5.0', 'RATED\n  Friendly staff and great food.. good variety of sparkling wine collection... Tandoor varieties tastes good.. along with some good spread of Chinese Italian Continental and mocktails .. lovely ambience post five in the evening for a relaxed time..')]","[]",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"572, 30th Main, 3rd Stage, Banashankari, Bangalore","My Tea House","1","1","NEW",0,"Banashankari","Casual Dining","","Continental, Asian, North Indian, Tea",500,"[('Rated 4.0', ""RATED\n  So apparently I visited this outlet and reviewed the other one as pointed out by the restaurant. Anyway here is what I think of this place.\n\nStragetically located in the heart of Banashankarim 2nd stage close to the KIMS college and BDA complex, this place is a quiet hangout for youngsters and families alike. The decor is amazing so are the variety of teas. There are some unimaginable variants and you would love it. The staff is courteous. And there are some interesting food options too so don't be misled by the name Tea house.\n\nMy rating\nAmbience: 4/5\nService: 4/5\nValue for money: 4/5"")]","['MTH Signature Soup', 'Minestrone Veg', 'Broccoli Spinach Soup', 'Cream of Tomato Soup', 'Cream of Mushroom Soup', 'Cream of Vegetable Soup', 'Cream of Spinach Soup', 'Green Pea Soup', 'Vegetable Clear Soup', 'Cream of Chicken Soup', 'Minestrone Chicken Soup', 'MTH Special Jungle Salad with Garlic Croutons', 'Waldorf Salad', 'Veg Caesar Salad', 'Veg Italian Salad', 'Veg Macaroni Salad', 'Russian Salad', 'Greek Salad', 'Chicken Caesar Salad', 'Chicken Italian Salad', 'Chicken Macaroni Salad', 'MTH Special Cheese Roll', 'Chicken Nuggets', 'Chicken Strips', 'Augratin', 'Veg Casserole', 'Mixed Grilled Veg', 'Risotto Al Funghi', 'Risotto Al Pomodoro', 'Risotto Ai Broccoli E Carota', 'Risotto Al Pomodoro E Salsiccia', 'Classic Stroganoff Veg', 'Cottage Cheese Steak', 'Fritters Veg with Cottage Cheese', 'Risotto Al Pollo', 'Bangers and Mash', 'Chicken Casserole', 'Chicken Diane', 'Chicken Classic Stroganoff', 'Chicken Steak', 'Chicken Schnitzel', 'Chicken Cordon Bleu', 'Chicken Parmigianino', 'Chicken Minced Steak', 'Mixed Grill', 'Fritters Non Veg with Chicken Salami', 'Aloo Paratha', 'Paneer Paratha', 'Egg Paratha', 'Margherita Pizza', 'Piedmont Pizza', 'MTH Special for Meat Lovers Pizza', 'Sicilian Pizza', 'Pizza Tuscany', 'MTH Special Veg Pasta Cannelloni', 'Aglio Olio Pasta', 'Puttanesca Pasta', 'Primavera Pasta', 'Pesto Pasta', 'Veg Alfredo Pasta', 'Veg Romana Pasta', 'Veg Arabiatta Pasta', 'MTH Special Chicken Pasta Cannelloni', 'Chicken Alfredo Pasta', 'Chicken Romana Pasta', 'Chicken Arrabiata Pasta', 'Chicken Lasagne', 'Carbonara Sauce Pasta', 'Spaghetti Bolognese', 'Tetrazzini Pasta', 'California Burger', 'Chilly Billy Veg Burger', 'Lexington Burger', 'American Veg Cheese Burger', 'Chicken Chilli Billy Burger', 'American Cheese and Chicken Burger', 'Broadway Chicken Burger', ""MTH Special Sloppy Joe's Burger"", 'Manhattan Cheese and Chicken Burger', 'The Tex Mex Burger', 'American Cheese and Lamb Burger', 'Grilled UFO Burger', 'Wellington Burger', 'Veg Club Sandwich', 'Veggie Delight Sandwich', 'Spinach and Corn Sandwich', 'Egg Club Sandwich', 'Egg Sandwich', 'MTH Special 5 Layered Monster Sandwich', 'MTH Special 4 Layered Beast Sandwich', 'Chicken Club Sandwich', 'Chicken and Cheese Sandwich', 'Chicken and Salami Sandwich', 'Dal Vada', 'Masala Vada', 'Pakoda Platter Veg', 'Pakoda Platter Egg', 'Pakoda Platter Chicken', 'Garlic Bread', 'French Fries', 'Bruschetta', 'Crostini', 'Cheese Garlic Bread', 'Baked Chilli Cheese Toast', 'Mushroom Bogart', 'Cheese Bogart', ""Bull's Eye"", 'Egg Stuffed Bread Roll', 'Fluffy Scrambled Egg', 'Ham Bogart', 'Chicken Bogart', 'Ice Cream [2 Scoops]', 'MTH Sponge Tea Cake', 'MTH Sponge Honey Cake', 'MTH Sponge Walnut Cake', 'MTH Sponge Dates Cake', 'Cake with Ice Cream']",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"111, 80 Feet Road, 1st Stage, Seetha Circle, Next To Vinayaka Hospital, Giri Nagari, Banashankari, Bangalore","Parijatha Paradise","1","0","NEW",0,"Banashankari","Casual Dining","","South Indian, North Indian, Fast Food, Chinese, Street Food",500,"[]","['North Indian Meal', 'Roti Curry', 'Kulcha Curry', 'Naan Curry', 'South Mini Meal', 'Aloo Paratha', 'Idly', 'Rawa Idly', 'Vada', 'Rava Vada', 'Kesari Bath', 'Cheese Bath', 'Chow Chow Bath', 'Rice Bath', 'Poori', 'Akki Roti', 'Shavige Bath', 'Menthya Rice Bath', 'Veg Pulao', 'Ghee Rice', 'Tomato Rice Bath', 'Veg Biryani', 'Veg Pulao', 'Masala Dosa', 'Set Dosa', 'Plain Dosa', 'Onion Dosa', 'Open Dosa', 'Butter Masala Dosa', 'Rava Dosa', 'Paper Masala Dosa', 'Paper Plain Dosa', 'Butter Plain Dosa', 'Mangalore Buns', 'Pakoda', 'Gulab Jamun', 'Vanilla Ice Cream', 'Strawberry Ice Cream', 'Chocolate Ice Cream', 'Butterscotch Ice Cream', 'Blackcurrant Ice Cream', 'Pista Ice Cream', 'Tutti Frutti Ice Cream', 'Mango Ice Cream', 'Fruit Salad Ice Cream', 'Fruit Salad With Ice Cream', 'Gudbud Ice Cream', 'Double Sundae Ice Cream', 'Strawberry Sundae Ice Cream', 'Mosambi Juice', 'Orange Juice', 'Pineapple Juice', 'Grape Juice', 'Watermelon Juice', 'Lemon Juice', 'Butter Milk', 'Sapota Milkshake', 'Muskmelon Milkshake', 'Butter Fruit Milkshake', 'Apple Milkshake', 'Dates Milkshake', 'Badam Milkshake', 'Vanilla Ice Cream Milkshake', 'Strawberry Ice Cream Milkshake', 'Chocolate Ice Cream Milkshake', 'Pista Ice Cream Milkshake', 'Butterscotch Ice Cream Milkshake', 'Strawberry Lassi', 'Tea', 'Coffee', 'Badam Milk', 'Lemon Tea', 'Ginger Tea', 'Green Tea']",1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"4, 12th Cross, Kadarenahalli, 2nd Stage, Banashankari, Bangalore","Hyderabad Express","1","0","NEW",0,"Banashankari","Quick Bites","","Hyderabadi, Biryani, South Indian, Andhra, Beverages",300,"[('Rated 1.0', 'RATED\n  I have never seen such a bad restaurant. I ordered food from zomato and food is spoiled. Don?t ever dare to order from this hotel. They just cheat by naming as Hyderabad express'), ('Rated 5.0', 'RATED\n  I love Hyderabadi biryani, So I?m eagerly waiting for this restaurant to open to have a great meal. I and my buddy?s are really waiting for this restaurant to open as we can meet up and have a good and healthy meal.??'), ('Rated 5.0', 'RATED\n  Food is really awesome the packing of food looks nice\nGood. I tell my friends and cousins also to visit this site.there are many flavors in ? chicken I tried two of them...'), ('Rated 5.0', ""RATED\n  Waiting to have food in Hyderabad Express, because it's hydrabadi, and hydarbadi food is so tasty, every one should taste food from this resturant""), ('Rated 5.0', ""RATED\n  Good and satisfying taste of biryani,nice to see people are coming with such deliciousness in food, thank you so much Zomato,ur fulfilling your word's with restaurant likeHyderabad express in taste and authentication n hygiene""), ('Rated 5.0', ""RATED\n  I'm waiting to taste this delicious taste of Hyderabadi biryani, good food and good services I expect ,youth taste and people of Hyderabad Love this platform Big thumbs up for ur restaurant""), ('Rated 5.0', ""RATED\n  Eagerly waiting for the amazing food and delicious meals..\nAwesome taste and preference\nWow Hyderabad express can't wait more ...\nFresh and hygienic food management.""), ('Rated 5.0', 'RATED\n  waiting very curiously ? awesome delicious food, amazing time management , and soooo freaking delicious! best hydrabadi biryani and taste thanku')]","['Egg Biryani', 'Chicken Biryani', 'Mosambi Juice', 'Watermelon Juice', 'Papaya Juice', 'Egg Roll with Coke', 'Egg Biryani with Paratha Combo', 'Biryani Rice with Paratha Combo', 'Chicken Biryani with Paratha Combo', 'Kabab Biryani with Paratha Combo', 'Kabab', 'Egg Biryani', 'Biryani Rice', 'Chicken Biryani', 'Kabab Biryani', '2 Paratha', '2 Eggs Omelette', 'Egg Roll', 'Gulab Jamun', 'Mosambi Juice', 'Orange Juice', 'Watermelon Juice', 'Chikoo Juice', 'Papaya Juice', 'Apple Juice', 'Sweet Lassi', 'Salted Lassi', 'Coke [200 ml]']",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"1 Stage, Girinagar, Banashankari, Bangalore","Kaapi Corner","0","0","NEW",0,"Banashankari","Quick Bites","","South Indian",100,"[('Rated 5.0', 'RATED\n  It was delicious South Indian food cafe . Limited Menu but food is good . Can try with dosa . No soda and no artificial colours is used here.'), ('Rated 5.0', 'RATED\n  Guys , do visit the place , it is opened by my friend, tasty coffee and also the price is not so high,\nPlace is decent and also it has good enough dishes on the menu\n\nCoffee: as the name suggests it is awesome,\nTried : idly and Kharabath, Both tasted nice\n\nPlace is open in the morning:6 to 11.30\nAnd evening :4.30 to 8.30')]","[]",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore","Spicy Tandoor","0","0","NEW",0,"Banashankari","Quick Bites","","North Indian",150,"[('Rated 4.0', 'RATED\n  cost for chicken rolls is very high but fine taste by pandey and is crew. pls deduct the cost of rolls and great variety of food is been served'), ('Rated 5.0', 'RATED\n  Awesome taste, feel rich taste of food, cleanness is very good, very friendly nature by the hotel person, totally awesome, all the best gud luck')]","[]",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"86, Bairavi Colony, 4th Block, 6th Stage, Banashankari, Bangalore","Shri Guru Raghavendra Grand Veg","0","0","NEW",0,"Banashankari","Quick Bites","","South Indian, North Indian, Chinese",400,"[('Rated 4.0', ""RATED\n  Been here since its inception. A decent place run by a guy who previously used to make bajjis and bondas in the same neighbourhood.\nYou get fresh served south Indian dishes in the morning and they make amazing sambar I tell.\n\nThe best part being that they make benne masala dosa (Butter Masala Dosa) and damn he does it great.\n\nApart from this in the noon they serve meals which are pretty decent for the price and have tried it about 3-4 times.\n\nIn the evening they make Chinese dishes which are really well prepared and I am always visiting the place for breakfast and almost every Sunday\n??.\n\nThey also make these specialty food like mangalore buns and other desserts like halwas which are good try as well .\n\nThey have both standing and sitting options and the food is worth the price.\n\nOnly thing I'm hoping for is for delivery options which would make it better."")]","[]",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"32, 6th Cross Dwarakanagar, PESIT College, Ring Road Hosakerehalli, Banashankari, Bangalore","Dtink Lab","0","0","NEW",0,"Banashankari","Quick Bites","","Beverages, Sandwich",80,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"487, 2nd Main Road S.B.M Colony, Banashankari, Bangalore","Shree Udupi South kitchen","0","0","NEW",0,"Banashankari","Quick Bites","","South Indian",150,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore","Foodlieious Multi Cuisine","0","0","NEW",0,"Banashankari","Quick Bites","","North Indian",100,"[]","[]",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"166, Banashankari, Bangalore","Sri Raghavendra Prasanna Coffee Beans Club","0","0","NEW",0,"Banashankari","Quick Bites","","South Indian",150,"[]","[]",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru","Sri Balaji Tiffin Centre","0","0","NEW",0,"Banashankari","Quick Bites","","South Indian, Chinese",300,"[]","[]",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
